Title,Yr,Dir,Link,audio,Number,Sektor,Märkus
Fallo!,2003,Tinto Brass,http://www.imdb.com/title/tt0372909/,ita/est,,XRET,
Fantastic Four,2005,Stroy, T.,http://www.imdb.com/title/tt0120667/,,152,RUND-TING,
Faster, Pussycat! Kill! Kill!,1965,Meyer, Russ,http://us.imdb.com/Title?0059170,eng/-,25,MAAP-PAIR,
Faust,1926,Murnau, F. W.,http://www.imdb.com/title/tt0016847/,,16,MAAP-PAIR,
Fawlty Towers,1975,,http://us.imdb.com/Title?0072500,,,,
Festival Shorts,,MIX,,,113,E-HERM,Compilation
Fidibus,2006,Joof, H.,http://www.imdb.com/title/tt0481995/,dan/fin,143,HERN-KIRU,
Fitzcarraldo,1982,Herzog, W.,http://www.imdb.com/title/tt0083946/,ger/eng,130,HERN-KIRU,
For a Few Previews More,2003,,http://www.lfvw.com/for_few_previews.htm,eng/-,102,E-HERM,
Forbidden Movies from the Brothels of Paris,2004,DOC,http://www.plume-noire.com/movies/cult/forbiddenmovies.html,,1,L,
Force 10 From Navarone,1978,Guy Hamilton,http://www.imdb.com/title/tt0077572/,eng/eng,,,http://jupiter.neetud.com/2009/02/force-10-from-navarone-1978.html
Fort Apache,1948,Ford, J.,http://www.imdb.com/title/tt0040369/,eng,78,E-HERM,
Fortress,1993,Gordon, S.,http://www.imdb.com/title/tt0106950/,eng/eng,53,E-HERM,o: Chr. Lambert
Frankenstein,1931,,http://www.imdb.com/title/tt0021884/,eng/eng,,XBOX,
Frankenstein meets the Wolf Man,1943,,http://www.imdb.com/title/tt0035899/,eng/eng,,XBOX,
From Beyond,1986,Gordon, S.,http://us.imdb.com/Title?0091083,,72,E-HERM,
From Russia With Love,1963,Young, T.,http://us.imdb.com/Title?0057076,eng/fin,,XRET,
Full Metal Jacket,1987,Kubrick, S.,http://www.imdb.com/title/tt0093058/,,188,KIRV-MAAO,
Funny Man,1994,Sprackling, S.; o: C. Lee,http://www.imdb.com/title/tt0109858/,eng/-,126,RUND-TING,
Gamle maend i nye biler,2002,Olsen, L. S.,http://www.imdb.com/title/tt0246692/,dan/eng,6,MAAP-PAIR,
Get Carter,1971,Hodges, Mike,http://www.imdb.com/title/tt0067128/,eng,152,HERN-KIRU,
